date,year,month,day,weekday,hour,demand
1/13/2018,2018,1,13,7,19,7549.5
1/13/2018,2018,1,13,7,20,7734
1/13/2018,2018,1,13,7,21,7569
1/13/2018,2018,1,13,7,22,6929
1/13/2018,2018,1,13,7,23,6195
1/14/2018,2018,1,14,1,0,5592
1/14/2018,2018,1,14,1,1,5101
1/14/2018,2018,1,14,1,2,4928
1/14/2018,2018,1,14,1,3,4759
1/14/2018,2018,1,14,1,4,4647
1/14/2018,2018,1,14,1,5,4588
1/14/2018,2018,1,14,1,6,4817
1/14/2018,2018,1,14,1,7,5178
1/14/2018,2018,1,14,1,8,5720
1/14/2018,2018,1,14,1,9,6045
1/14/2018,2018,1,14,1,10,6176
1/14/2018,2018,1,14,1,11,6071
1/14/2018,2018,1,14,1,12,6022
1/14/2018,2018,1,14,1,13,6113
1/14/2018,2018,1,14,1,14,5794
1/14/2018,2018,1,14,1,15,5796
1/14/2018,2018,1,14,1,16,5850
1/14/2018,2018,1,14,1,17,6213
1/14/2018,2018,1,14,1,18,7157
1/14/2018,2018,1,14,1,19,7374
1/14/2018,2018,1,14,1,20,7591
1/14/2018,2018,1,14,1,21,7409
1/14/2018,2018,1,14,1,22,6855
1/14/2018,2018,1,14,1,23,6218
1/15/2018,2018,1,15,2,0,5647
1/15/2018,2018,1,15,2,1,5182
1/15/2018,2018,1,15,2,2,4962
1/15/2018,2018,1,15,2,3,4796
1/15/2018,2018,1,15,2,4,4644
1/15/2018,2018,1,15,2,5,4603
1/15/2018,2018,1,15,2,6,4681
1/15/2018,2018,1,15,2,7,5208
1/15/2018,2018,1,15,2,8,5733
1/15/2018,2018,1,15,2,9,6250
1/15/2018,2018,1,15,2,10,5962
1/15/2018,2018,1,15,2,11,5875
1/15/2018,2018,1,15,2,12,5988
1/15/2018,2018,1,15,2,13,6023
1/15/2018,2018,1,15,2,14,5813
1/15/2018,2018,1,15,2,15,6023
1/15/2018,2018,1,15,2,16,5838
1/15/2018,2018,1,15,2,17,6054
1/15/2018,2018,1,15,2,18,7344
1/15/2018,2018,1,15,2,19,7614
1/15/2018,2018,1,15,2,20,7884
1/15/2018,2018,1,15,2,21,7695
1/15/2018,2018,1,15,2,22,6967
1/15/2018,2018,1,15,2,23,6453
1/16/2018,2018,1,16,3,0,5838
1/16/2018,2018,1,16,3,1,5259
1/16/2018,2018,1,16,3,2,4999
1/16/2018,2018,1,16,3,3,4814
1/16/2018,2018,1,16,3,4,4716
1/16/2018,2018,1,16,3,5,4658
1/16/2018,2018,1,16,3,6,4851
1/16/2018,2018,1,16,3,7,5321
1/16/2018,2018,1,16,3,8,5797
1/16/2018,2018,1,16,3,9,6120
1/16/2018,2018,1,16,3,10,6014
1/16/2018,2018,1,16,3,11,5881
1/16/2018,2018,1,16,3,12,6093
1/16/2018,2018,1,16,3,13,6007
1/16/2018,2018,1,16,3,14,5739
1/16/2018,2018,1,16,3,15,5848
1/16/2018,2018,1,16,3,16,5824
1/16/2018,2018,1,16,3,17,6086
1/16/2018,2018,1,16,3,18,7389
1/16/2018,2018,1,16,3,19,7524.5
1/16/2018,2018,1,16,3,20,7660
1/16/2018,2018,1,16,3,21,7523
1/16/2018,2018,1,16,3,22,6753
1/16/2018,2018,1,16,3,23,6319
1/17/2018,2018,1,17,4,0,5758
1/17/2018,2018,1,17,4,1,5327
1/17/2018,2018,1,17,4,2,5035
1/17/2018,2018,1,17,4,3,4918
1/17/2018,2018,1,17,4,4,4833
1/17/2018,2018,1,17,4,5,4748
1/17/2018,2018,1,17,4,6,4972
1/17/2018,2018,1,17,4,7,5386
1/17/2018,2018,1,17,4,8,5999
1/17/2018,2018,1,17,4,9,6170
1/17/2018,2018,1,17,4,10,6067
1/17/2018,2018,1,17,4,11,6041
